Customer ID;Churn Label;Churned;Account Length (in months);Local Calls;Local Mins;Intl Calls;Intl Mins;Intl Active;Intl Plan;Extra International Charges;Customer Service Calls;Avg Monthly GB Download;Unlimited Data Plan;Extra Data Charges;State;Phone Number;Gender;Age;Under 30;Senior;Group;Number of Customers in Group;Device Protection & Online Backup;Contract Type;Payment Method;Monthly Charge;Total Charges;Churn Category;Churn Reason;Fecha de contacto;Fecha de ultima transaccion;Antigüedad del cliente (en meses);Segmento de cliente;Promedio mensual de gastos;Número de quejas o soporte;Método preferido de contacto;Descuento aplicado;Hobby;Favorite TV Show;Internal Notes
3639-RZRR;No;0;24;117;313,5;0;0;No;no;0;2;0;0;0;WV;334-6142;Female;32;No;No;No;0;No;  Month-to-Month   ;CREDIT CARD;11 USD;273;;;2021-01-24;9/2/22;89;Alto;8,835658684;0;Email;VERDADERO;Reading;Friends;No relevant issues
3367-HVUF;No;0;64;353;573,2;0;0;No;no;0;0;4;1;0;FL;365-8089;Hombre;70;No;Yes;No;0;Yes;  One Year   ;direct debit;47 USD;3004;;;2021/08/28;13/2/21;32;Bajo;40,9181364;10;Email;VERDADERO; Running;Stranger Things;No relevant issues
3702-PTNU;Yes;1;12;48;95,9;48;152.4;Yes;no;30,5;1;4;1;0;IN;316-9313;Female;84;No;Yes;No;0;No;  Month-to-Month   ;direct debit;35 USD;420;Competitor;;2020/03/10;25/2/23;13;Medio;31,07247188;4;Email;FALSO;Reading;Friends;No relevant issues
4836-CFVJ;No;0;69;250;549,1;0;0;No;no;0;0;7;1;0;OR;398-9228;Female;57;No;No;No;0;No;  Month-to-Month   ;direct debit;28 USD;1945;;;2021/02/04;23/5/22;92;Medio;26,89692116;6;Teléfono;VERDADERO;Running;Game of Thrones;No relevant issues
8872-VVHF;No;0;38;50;153,9;76;448.4;Yes;no;224,2;0;0;0;0;NH;376-4856;Hombre;43;No;No;Yes;2;No;  Two Year   ;CREDIT CARD;8 USD;322;;;2023/02/26;22/12/21;86;Alto;9,379710619;0;Teléfono;VERDADERO;Reading;Stranger Things;No relevant issues
8392-DMAC;No;0;30;67;182,2;0;0;No;no;0;0;6;1;0;KY;340-5558;Female;48;No;No;Yes;5;No;  Month-to-Month   ;;29 USD;887;;;2020/01/20;8/11/21;37;Medio;31,64286257;0;Email;VERDADERO;Cooking;Stranger Things;No relevant issues
0565-TGDV;No;0;19;92;253,4;0;0;No;no;0;0;0;0;0;KS;292-9386;Female;48;No;No;No;0;No;  Month-to-Month   ;;6 USD;126;;;2021-05-19;20/8/21;37;Alto;6,374331008;1;SMS;FALSO;Reading;Stranger Things;No relevant issues
8088-EFWK;No;0;54;264;749,1;0;0;No;no;0;0;4;1;0;MT;356-1940;Hombre;65;No;Yes;Yes;5;No;  Two Year   ;;28 USD;1495;;;2021/03/06;27/10/23;70;Alto;31,18162809;4;SMS;VERDADERO;Gaming;Breaking Bad;No relevant issues
0559-FZOY;No;0;2;5;13,3;6;12;Yes;no;2,4;0;0;0;0;DC;343-1323;Hombre;48;No;No;No;0;No;  Month-to-Month   ;;9 USD;17;;;2022-02-27;25/8/20;61;Medio;8,204777977;3;Email;FALSO;Gaming;Breaking Bad;No relevant issues
3420-OZOT;No;0;3;14;36,7;6;41.4;Yes;yes;0;0;4;1;0;TN;410-7611;Female;59;No;No;No;0;No;  Month-to-Month   ;;28 USD;80;;;2021-03-20;24/4/20;103;Medio;32,5180872;4;Email;VERDADERO;Reading;Friends;No relevant issues
6610-ZVLU;No;0;40;174;517,5;80;456;Yes;no;114;0;0;0;0;MN;401-9420;Female;21;Yes;No;Yes;4;No;  Month-to-Month   ;;9 USD;;;;2022-09-02;20/8/20;34;Bajo;9,122943881;4;SMS;VERDADERO;Running;Game of Thrones;No relevant issues
0525-VIVB;Yes;1;5;10;26,7;0;0;No;no;0;3;1;1;0;NH;353-4296;Female;53;No;No;No;0;Yes;  Month-to-Month   ;;14 USD;;Competitor;;2022/04/12;16/1/23;69;Medio;12,86310252;8;Email;VERDADERO;Gaming;Friends;No relevant issues
4419-DXOY;No;0;1;4;11;3;18.2;Yes;no;3,6;0;0;0;0;IL;420-6121;Female;33;No;No;No;0;No;  Month-to-Month   ;;13 USD;;;;2020-10-05;9/6/23;37;Alto;13,11245511;2;Teléfono;VERDADERO;Cooking;Friends;No relevant issues
5520-IBBZ;Yes;1;45;248;679;0;0;No;no;0;0;3;1;0;WY;307-4181;Female;56;No;No;No;0;Yes;  Two Year   ;;21 USD;;Dissatisfaction;;2021-06-04;18/3/21;82;Bajo;18,69758628;6;Email;VERDADERO;Reading;Game of Thrones;No relevant issues
2337-JGXR;No;0;9;47;78,8;36;101.7;Yes;no;20,3;0;6;1;0;SD;259-6576;Female;36;No;No;No;0;Yes;  Month-to-Month   ;;32 USD;;;;2021/10/26;5/6/23;34;Bajo;30,03443904;4;Teléfono;FALSO;Reading;Friends;No relevant issues
0879-UMTJ;No;0;36;116;326,3;0;0;No;no;0;0;10;1;0;AL;275-5744;Hombre;60;No;No;Yes;4;Yes;  One Year   ;;30 USD;;;;2021/04/09;9/5/22;71;Alto;28,39295181;2;Email;FALSO;Cooking;Game of Thrones;No relevant issues
7876-VKWX;No;0;72;231;715,3;216;727.2;Yes;yes;0;0;7;1;0;DE;379-3953;Hombre;47;No;No;No;0;Yes;  Two Year   ;;41 USD;;;;2021-01-17;26/1/20;46;Medio;44,21647474;10;Email;FALSO;Reading;Breaking Bad;No relevant issues
0839-FFVI;Yes;1;1;5;12;0;0;No;yes;0;3;3;1;0;NV;376-4540;Hombre;40;No;No;No;0;No;  Month-to-Month   ;;47 USD;;Attitude;Attitude of service provider;2022-05-07;3/10/21;30;Bajo;54,38061008;0;SMS;VERDADERO;Cooking;Stranger Things;No relevant issues
5474-NYBN;No;0;2;10;30,8;0;0;No;no;0;0;0;0;0;OR;356-1824;Female;30;No;No;No;0;No;  Month-to-Month   ;;8 USD;;;;2020-10-06;22/12/23;15;Medio;9,484982729;4;Email;VERDADERO;Reading;Stranger Things;No relevant issues
0363-WXBO;No;0;52;228;464,6;208;509.6;Yes;no;254,8;0;0;0;0;ID;317-4736;Female;60;No;No;No;0;No;  Two Year   ;;13 USD;;;;2023/12/31;2/10/22;108;Medio;12,31840528;8;SMS;FALSO;Gaming;Breaking Bad;No relevant issues
3118-LKNS;No;0;57;309;801,3;0;0;No;no;0;0;0;0;0;TN;414-9717;Hombre;37;No;No;Yes;2;No;  Two Year   ;;7 USD;;;;2022-12-28;13/2/20;63;Alto;6,370056184;9;Email;VERDADERO;Gaming;Friends;No relevant issues
5262-OVCY;No;0;5;25;68,4;5;40;Yes;no;8;2;0;0;0;WY;416-2825;Hombre;45;No;No;No;0;No;  Month-to-Month   ;CREDIT CARD;11;;;;2023/12/11;22/2/20;64;Alto;10,92427622;9;SMS;FALSO;Running;Breaking Bad;No relevant issues
